QualifyingAreaName,TotalPopulation,Male,Female,WhitePopulation,White_Male,White_Female,FreeColoredPopulation,FreeColored_Male,FreeColored_Female,SlavePopulation,Slave_Male,Slave_Female,FreePersons,FreePersons_White,FreePersons_White_Male,FreePersons_White_Female,FreePersons_ColoredPersons,FreePersons_ColoredPersons_Male,FreePersons_ColoredPersons_Female,SlavePopulation_Male,SlavePopulation_Female,DisabledWhite,DisabledWhite_DeafandDumb,InsaneandIdioticPersons,InsaneandIdioticPersons_AtPublicCharge,InsaneandIdioticPersons_AtPrivateCharge,PersonsEmployedinMining,PersonsEmployedinAgriculture,PersonsEmployedinCommerce,PersonsEmployedinManufacturingTrade,PersonsEmployedinOceanNavigation,PersonsEmployedinLandNavigation,PersonsEmployedEngineersProfessional,PensionersofRevolutionaryWarorMilitaryService,CollegeUniversityStudents,AcademyGrammarSchoolStudents,PrimaryCommonSchoolStudents,StudentsatPublicCharge,IlliterateWhiteAge20andOver,LiterateWhiteAge20andOver,NumberofPersonsEmployedinPrintingBinding
"Jackson County, Missouri",7612,3996,3616,6245,3307,2938,6,3,3,1361,686,675,6251,6245,3307,2938,6,3,3,686,675,8,3,4,1,3,0,1703,63,147,0,9,20,1,0,0,613,0,342,2007,3
"Jefferson County, Missouri",4296,2272,2024,3960,2078,1882,12,6,6,324,188,136,3972,3960,2078,1882,12,6,6,188,136,12,4,5,3,2,46,906,0,3,0,0,2,1,0,0,88,0,303,1163,0
"Johnson County, Missouri",4471,2308,2163,3911,2056,1855,4,3,1,556,249,307,3915,3911,2056,1855,4,3,1,249,307,8,0,7,0,7,0,1340,18,76,0,0,15,1,0,0,286,0,338,1177,0
"Lafayette County, Missouri",6815,3576,3239,4799,2586,2213,26,13,13,1990,977,1013,4825,4799,2586,2213,26,13,13,977,1013,3,1,1,0,1,3,1393,114,243,3,0,37,0,0,0,254,0,0,1958,0
"Lewis County, Missouri",6040,3140,2900,4966,2629,2337,9,7,2,1065,504,561,4975,4966,2629,2337,9,7,2,504,561,3,0,4,1,3,0,1637,28,142,15,0,38,0,0,0,368,0,233,1821,0
"Lincoln County, Missouri",7449,3831,3618,5873,3056,2817,4,3,1,1572,772,800,5877,5873,3056,2817,4,3,1,772,800,12,8,6,0,6,0,1812,22,109,0,0,21,7,0,72,277,0,268,2024,0
"Linn County, Missouri",2245,1206,1039,2102,1125,977,0,0,0,143,81,62,2102,2102,1125,977,0,0,0,81,62,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,759,0
"Livingston County, Missouri",4325,2275,2050,4082,2160,1922,2,0,2,241,115,126,4084,4082,2160,1922,2,0,2,115,126,6,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,0,0,0,90,0,170,1425,0
"Macon County, Missouri",6034,3189,2845,5808,3075,2733,1,1,0,225,113,112,5809,5808,3075,2733,1,1,0,113,112,8,3,10,3,7,0,1722,0,79,0,0,4,4,0,0,180,0,724,1422,0
"Madison County, Missouri",3395,1794,1601,2762,1462,1300,22,13,9,611,319,292,2784,2762,1462,1300,22,13,9,319,292,3,2,4,2,2,86,507,0,337,0,0,0,3,0,0,244,0,286,762,0
"Marion County, Missouri",9623,5049,4574,7239,3907,3332,42,28,14,2342,1114,1228,7281,7239,3907,3332,42,28,14,1114,1228,9,7,5,0,5,0,2248,66,600,0,1,126,3,1,0,648,103,87,2952,11
"Miller County, Missouri",2282,1195,1087,2170,1135,1035,1,0,1,111,60,51,2171,2170,1135,1035,1,0,1,60,51,1,0,1,0,1,0,681,0,3,0,0,1,1,0,0,65,0,197,549,0
"Monroe County, Missouri",9505,4914,4591,7813,4116,3697,5,4,1,1687,794,893,7818,7813,4116,3697,5,4,1,794,893,18,3,15,3,12,0,2472,41,261,0,1,46,2,0,125,479,0,540,2561,0
"Montgomery County, Missouri",4371,2227,2144,3524,1798,1726,20,13,7,827,416,411,3544,3524,1798,1726,20,13,7,416,411,4,4,1,1,0,0,1280,16,39,2,0,11,2,0,28,74,0,227,1137,0
"Morgan County, Missouri",4407,2301,2106,3891,2055,1836,4,4,0,512,242,270,3895,3891,2055,1836,4,4,0,242,270,4,0,4,0,4,0,1233,10,78,0,0,7,1,0,30,141,0,339,1100,0
"New Madrid County, Missouri",4554,2419,2135,3748,2011,1737,5,2,3,801,406,395,3753,3748,2011,1737,5,2,3,406,395,3,1,1,1,0,0,1196,11,51,0,13,14,0,0,55,99,0,453,1106,0
"Newton County, Missouri",3790,2094,1696,3616,2017,1599,5,4,1,169,73,96,3621,3616,2017,1599,5,4,1,73,96,2,2,0,0,0,0,1303,23,59,0,0,14,0,0,0,114,0,490,883,0
"Perry County, Missouri",5760,3038,2722,4968,2658,2310,14,5,9,778,375,403,4982,4968,2658,2310,14,5,9,375,403,2,0,3,0,3,0,1626,20,114,0,1,23,0,1,0,169,0,34,2057,0
"Pettis County, Missouri",2930,1501,1429,2377,1236,1141,1,1,0,552,264,288,2378,2377,1236,1141,1,1,0,264,288,2,1,1,0,1,0,648,7,54,0,0,9,2,0,0,0,0,43,909,0
"Pike County, Missouri",10646,5469,5177,8157,4268,3889,17,6,11,2472,1195,1277,8174,8157,4268,3889,17,6,11,1195,1277,13,1,11,2,9,11,3220,56,265,0,7,52,4,0,0,1048,0,144,3159,3
"Platte County, Missouri",8913,4654,4259,8049,4245,3804,6,4,2,858,405,453,8055,8049,4245,3804,6,4,2,405,453,3,1,1,0,1,0,2207,56,195,0,0,37,3,0,0,0,0,510,2626,0
"Polk County, Missouri",8449,4395,4054,7978,4188,3790,9,4,5,462,203,259,7987,7978,4188,3790,9,4,5,203,259,20,10,7,1,6,0,2478,15,51,0,0,8,2,0,0,93,0,929,1928,0
"Pulaski County, Missouri",6529,3467,3062,6338,3378,2960,1,0,1,190,89,101,6339,6338,3378,2960,1,0,1,89,101,9,2,5,1,4,2,2065,24,111,0,23,18,0,0,0,116,0,1015,1341,0
"Ralls County, Missouri",5670,2956,2714,4450,2336,2114,11,8,3,1209,612,597,4461,4450,2336,2114,11,8,3,612,597,7,0,10,4,6,0,1311,23,118,0,1,17,4,0,38,243,0,67,1699,0
"Randolph County, Missouri",7198,3734,3464,5749,3047,2702,12,5,7,1437,682,755,5761,5749,3047,2702,12,5,7,682,755,9,2,7,0,7,3,2211,16,196,0,0,18,0,0,0,655,55,423,1804,0
"Ray County, Missouri",6553,3426,3127,5714,2996,2718,5,4,1,834,426,408,5719,5714,2996,2718,5,4,1,426,408,4,0,3,1,2,0,1846,36,94,0,0,13,2,0,0,206,0,419,1717,0
"Ripley County, Missouri",2856,1478,1378,2777,1441,1336,2,2,0,77,35,42,2779,2777,1441,1336,2,2,0,35,42,1,1,1,1,0,2,777,1,35,0,0,0,0,0,0,60,0,489,479,0
"Rives County, Missouri",4726,2500,2226,4086,2176,1910,4,3,1,636,321,315,4090,4086,2176,1910,4,3,1,321,315,2,0,1,0,1,0,1275,28,18,0,0,10,1,0,0,299,0,221,1372,0
"St Charles County, Missouri",7911,4187,3724,6286,3378,2908,28,11,17,1597,798,799,6314,6286,3378,2908,28,11,17,798,799,14,2,12,1,11,1,1488,44,320,0,20,39,0,1,57,321,0,299,2533,1
"Ste Genevieve County, Missouri",3148,1694,1454,2563,1384,1179,37,19,18,548,291,257,2600,2563,1384,1179,37,19,18,291,257,2,0,2,0,2,0,499,34,84,0,0,0,1,0,60,92,0,137,899,0
"St Francois County, Missouri",3211,1689,1522,2694,1407,1287,16,5,11,501,277,224,2710,2694,1407,1287,16,5,11,277,224,3,0,3,1,2,79,1041,12,83,0,0,23,1,0,0,286,0,228,825,0
"St Louis County, Missouri",35979,20852,15127,30505,18080,12425,858,474,384,4616,2298,2318,31363,30505,18080,12425,858,474,384,2298,2318,50,13,29,17,12,50,3996,1011,3034,2,1747,267,1,2,662,1056,266,934,16198,82
"Saline County, Missouri",5258,2734,2524,3635,1928,1707,8,4,4,1615,802,813,3643,3635,1928,1707,8,4,4,802,813,9,0,9,0,9,0,1247,14,117,0,0,16,2,0,0,303,0,115,1325,0
"Scott County, Missouri",5974,3212,2762,5028,2755,2273,18,8,10,928,449,479,5046,5028,2755,2273,18,8,10,449,479,2,1,2,0,2,0,1535,26,100,0,5,33,1,0,0,134,0,240,1884,0
"Shelby County, Missouri",3056,1609,1447,2587,1357,1230,11,7,4,458,245,213,2598,2587,1357,1230,11,7,4,245,213,1,1,0,0,0,0,840,0,0,0,0,0,1,0,0,256,0,19,1030,0
"Stoddard County, Missouri",3153,1643,1510,3081,1605,1476,1,1,0,71,37,34,3082,3081,1605,1476,1,1,0,37,34,6,2,3,0,3,0,861,0,0,0,1,0,1,0,0,80,0,591,503,0
"Taney County, Missouri",3264,1741,1523,3212,1713,1499,12,6,6,40,22,18,3224,3212,1713,1499,12,6,6,22,18,2,1,1,0,1,51,975,0,5,0,0,6,0,0,0,0,0,426,732,0
"Van Buren County, Missouri",4693,2496,2197,4448,2370,2078,31,20,11,214,106,108,4479,4448,2370,2078,31,20,11,106,108,11,4,6,1,5,0,1423,13,72,0,0,25,1,0,0,298,0,397,1299,0
"Unattached, Missouri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Warren County, Missouri",4253,2220,2033,3555,1876,1679,2,2,0,696,342,354,3557,3555,1876,1679,2,2,0,342,354,0,0,0,0,0,0,1192,18,81,0,2,10,2,0,0,104,0,4,1448,0
"Washington County, Missouri",7213,3836,3377,6248,3314,2934,42,23,19,923,499,424,6290,6248,3314,2934,42,23,19,499,424,2,0,0,0,0,258,1058,31,122,0,0,19,5,0,83,339,0,186,2290,0
"Wayne County, Missouri",3403,1750,1653,3069,1596,1473,12,8,4,322,146,176,3081,3069,1596,1473,12,8,4,146,176,6,3,2,0,2,1,1007,0,33,0,0,11,0,0,0,234,0,466,638,0
"Cheshire County, New Hampshire",26429,13141,13288,26389,13116,13273,40,25,15,0,0,0,26429,26389,13116,13273,40,25,15,0,0,107,21,63,19,44,0,6552,152,1618,5,26,129,186,0,610,5796,2538,52,14020,25
"Coos County, New Hampshire",9849,5004,4845,9846,5002,4844,3,2,1,0,0,0,9849,9846,5002,4844,3,2,1,0,0,16,4,14,7,7,0,6926,32,277,0,0,37,45,0,128,3104,0,100,4490,4
"Grafton County, New Hampshire",42311,21458,20853,42280,21446,20834,31,12,19,0,0,0,42311,42280,21446,20834,31,12,19,0,0,152,29,109,41,68,13,23434,205,2504,10,50,561,261,1,476,14047,50,7,21635,8
"Hillsborough County, New Hampshire",42494,20099,22395,42398,20055,22343,95,44,51,1,0,1,42493,42398,20055,22343,95,44,51,0,1,93,28,48,22,26,0,9354,407,3535,2,52,161,183,0,761,12798,30,43,23036,25
"Merrimack County, New Hampshire",36253,17758,18495,36147,17698,18449,106,60,46,0,0,0,36253,36147,17698,18449,106,60,46,0,0,105,28,62,19,43,0,8446,133,1986,31,32,168,175,0,1094,10380,2309,154,19315,111
"Rockingham County, New Hampshire",45771,22177,23594,45572,22098,23474,199,79,120,0,0,0,45771,45572,22098,23474,199,79,120,0,0,139,22,97,45,52,0,6008,162,2544,350,17,262,166,0,1015,10618,2788,7,24817,35
"Strafford County, New Hampshire",61127,29464,31663,61095,29454,31641,32,10,22,0,0,0,61127,61095,29454,31641,32,10,22,0,0,188,47,100,33,67,0,12513,283,4452,53,18,233,286,1,1339,19836,0,561,30977,44
"Sullivan County, New Hampshire",20340,10151,10189,20309,10135,10174,31,16,15,0,0,0,20340,20309,10135,10174,31,16,15,0,0,20,2,12,5,7,0,4716,5,910,1,3,89,106,0,376,7053,0,8,10689,4
"Atlantic County, New Jersey",8726,4538,4188,8492,4418,4074,234,120,114,0,0,0,8726,8492,4418,4074,234,120,114,0,0,3,1,0,0,0,0,1799,39,345,326,0,7,8,0,0,2520,0,279,3222,0
"Bergen County, New Jersey",13223,6870,6353,11472,5909,5563,1529,843,686,222,118,104,13001,11472,5909,5563,1529,843,686,118,104,23,1,20,1,19,21,2489,57,974,26,52,53,34,0,25,1388,0,284,5472,0
"Burlington County, New Jersey",32831,16262,16569,31187,15434,15753,1643,828,815,1,0,1,32830,31187,15434,15753,1643,828,815,0,1,61,14,43,29,14,1,4592,236,2056,121,147,135,2,0,135,5139,1986,174,14847,6
"Cape May County, New Jersey",5324,2678,2646,5126,2586,2540,198,92,106,0,0,0,5324,5126,2586,2540,198,92,106,0,0,3,1,1,1,0,0,859,0,179,178,32,14,0,0,0,992,0,10,2337,0
"Cumberland County, New Jersey",14374,7271,7103,13478,6796,6682,896,475,421,0,0,0,14374,13478,6796,6682,896,475,421,0,0,40,9,20,11,9,0,2249,77,905,41,318,52,18,0,396,2912,1471,162,6064,6
"Essex County, New Jersey",44621,21744,22877,42693,20832,21861,1908,899,1009,20,13,7,44601,42693,20832,21861,1908,899,1009,13,7,57,23,36,15,21,18,3193,364,5721,27,91,256,81,0,680,4655,536,460,20992,60
"Gloucester County, New Jersey",25438,12987,12451,23807,12151,11656,1631,836,795,0,0,0,25438,23807,12151,11656,1631,836,795,0,0,43,10,28,18,10,0,4839,138,1877,17,195,99,10,0,395,4256,110,611,10515,13
"Hudson County, New Jersey",9483,4919,4564,9153,4718,4435,319,197,122,11,4,7,9472,9153,4718,4435,319,197,122,4,7,2,1,0,0,0,0,818,44,1082,13,44,112,0,0,0,1136,70,137,4522,10
"Hunterdon County, New Jersey",24789,12396,12393,23976,11991,11985,778,389,389,35,16,19,24754,23976,11991,11985,778,389,389,16,19,78,24,54,19,35,0,5232,173,1480,1,20,77,35,0,0,2587,0,244,11029,6
"Mercer County, New Jersey",21502,10813,10689,19161,9691,9470,2319,1112,1207,22,10,12,21480,19161,9691,9470,2319,1112,1207,10,12,28,10,23,6,17,0,2005,200,2069,6,59,182,37,2,279,1472,176,390,9278,32
"Middlesex County, New Jersey",21893,10677,11216,20330,9952,10378,1535,715,820,28,10,18,21865,20330,9952,10378,1535,715,820,10,18,23,8,15,2,13,1,2759,206,1348,10,160,77,46,0,113,2340,187,23,9932,9
"Monmouth County, New Jersey",32909,16856,16053,30644,15716,14928,2180,1108,1072,85,32,53,32824,30644,15716,14928,2180,1108,1072,32,53,76,19,58,29,29,0,5455,116,1701,310,200,86,66,0,111,4995,0,1041,12948,6
"Morris County, New Jersey",25844,13108,12736,24896,12606,12290,911,485,426,37,17,20,25807,24896,12606,12290,911,485,426,17,20,23,6,19,1,18,97,3223,121,1221,3,54,119,52,0,456,4343,697,410,11390,14
"Passaic County, New Jersey",16734,8340,8394,15942,7931,8011,706,377,329,86,32,54,16648,15942,7931,8011,706,377,329,32,54,34,13,14,0,14,15,1143,109,1877,22,14,82,22,0,138,1987,784,1194,6250,6
"Salem County, New Jersey",16024,8218,7806,14227,7251,6976,1796,967,829,1,0,1,16023,14227,7251,6976,1796,967,829,0,1,35,9,17,10,7,3,4097,91,832,23,96,52,10,0,71,1646,319,327,6420,4
"Somerset County, New Jersey",17455,8835,8620,15698,7877,7821,1652,915,737,105,43,62,17350,15698,7877,7821,1652,915,737,43,62,41,5,27,9,18,56,3330,152,1003,15,0,106,31,1,56,1313,0,74,7574,18
"Sussex County, New Jersey",21770,11113,10657,21403,10929,10474,354,180,174,13,4,9,21757,21403,10929,10474,354,180,174,4,9,45,3,37,9,28,37,4188,88,1116,0,40,56,14,0,172,3369,0,317,9148,8
"Warren County, New Jersey",20366,10513,9853,19903,10267,9636,455,242,213,8,4,4,20358,19903,10267,9636,455,242,213,4,4,44,7,30,11,19,17,4431,72,1218,4,103,62,6,0,0,5533,792,248,8639,0
"Albany County, New York",68593,34353,34240,67279,33758,33521,1314,595,719,0,0,0,68593,67279,33758,33521,1314,595,719,0,0,38,9,17,1,16,0,8275,421,3791,35,305,366,69,0,469,9319,915,1323,32419,126
"Allegany County, New York",40975,21385,19590,40833,21318,19515,142,67,75,0,0,0,40975,40833,21318,19515,142,67,75,0,0,36,7,20,10,10,48,10042,104,2789,2,6,196,52,0,47,9157,0,63,18161,7
"Broome County, New York",22338,11425,10913,22115,11316,10799,223,109,114,0,0,0,22338,22115,11316,10799,223,109,114,0,0,33,13,15,9,6,0,3243,121,750,3,30,91,41,0,165,6620,7,6,10190,9
"Cattaraugus County, New York",28872,14954,13918,28834,14937,13897,38,17,21,0,0,0,28872,28834,14937,13897,38,17,21,0,0,55,18,31,8,23,0,5068,86,832,5,17,101,62,0,140,7722,34,367,11811,3
"Cayuga County, New York",50338,25720,24618,49903,25482,24421,435,238,197,0,0,0,50338,49903,25482,24421,435,238,197,0,0,94,18,57,11,46,25,10995,478,2942,40,153,302,117,1,601,16243,2990,476,23570,26
"Chautauqua County, New York",47975,24402,23573,47851,24345,23506,124,57,67,0,0,0,47975,47851,24345,23506,124,57,67,0,0,77,16,51,8,43,22,12195,344,2088,20,84,341,123,0,808,14487,237,400,20888,17
"Chemung County, New York",20732,10632,10100,20619,10564,10055,113,68,45,0,0,0,20732,20619,10564,10055,113,68,45,0,0,17,1,13,1,12,0,3809,153,1251,1,112,102,35,0,130,4837,184,770,8326,13
"Chenango County, New York",40785,20454,20331,40512,20314,20198,273,140,133,0,0,0,40785,40512,20314,20198,273,140,133,0,0,56,2,50,19,31,0,20545,458,3644,1,61,489,103,0,733,12816,20,77,19333,18
"Clinton County, New York",28157,14434,13723,28071,14386,13685,86,48,38,0,0,0,28157,28071,14386,13685,86,48,38,0,0,22,12,4,0,4,77,4602,190,1235,9,42,88,69,0,151,2957,84,2637,9724,8
"Columbia County, New York",43252,21993,21259,41696,21254,20442,1556,739,817,0,0,0,43252,41696,21254,20442,1556,739,817,0,0,130,17,106,20,86,16,7224,576,2347,58,168,225,85,0,709,10074,1,1054,20115,18
"Cortland County, New York",24607,12406,12201,24561,12385,12176,46,21,25,0,0,0,24607,24561,12385,12176,46,21,25,0,0,36,3,27,6,21,0,6031,51,1237,2,2,103,79,0,370,7930,0,149,11457,12
"Delaware County, New York",35396,17876,17520,35206,17776,17430,190,100,90,0,0,0,35396,35206,17776,17430,190,100,90,0,0,87,15,50,14,36,0,7434,173,1415,0,0,148,93,0,433,10651,0,778,15493,8
"Dutchess County, New York",52398,26377,26021,50128,25265,24863,2270,1112,1158,0,0,0,52398,50128,25265,24863,2270,1112,1158,0,0,59,7,57,29,28,56,16034,540,4801,33,136,268,54,0,621,4498,729,1764,23917,34
"Erie County, New York",62465,32501,29964,61857,32173,29684,608,328,280,0,0,0,62465,61857,32173,29684,608,328,280,0,0,73,16,45,7,38,0,11022,893,3622,11,415,376,53,0,156,11432,3148,507,28664,73
"Essex County, New York",23634,12158,11476,23556,12111,11445,78,47,31,0,0,0,23634,23556,12111,11445,78,47,31,0,0,49,10,34,3,31,13,5224,136,1789,10,137,132,83,0,395,5636,151,558,10220,6
"Franklin County, New York",16518,8392,8126,16515,8390,8125,3,2,1,0,0,0,16518,16515,8390,8125,3,2,1,0,0,19,5,11,7,4,3,3216,64,515,1,0,53,21,0,0,4749,0,527,6620,6
"Fulton County, New York",18049,8929,9120,17935,8871,9064,114,58,56,0,0,0,18049,17935,8871,9064,114,58,56,0,0,42,10,18,1,17,0,8037,99,1281,6,19,89,93,0,235,4059,0,640,8002,8
"Genesee County, New York",59587,30079,29508,59472,30015,29457,115,64,51,0,0,0,59587,59472,30015,29457,115,64,51,0,0,89,31,44,13,31,0,11412,252,2375,4,3,259,134,0,1262,14911,189,160,26254,22
"Greene County, New York",30446,15518,14928,29553,15072,14481,893,446,447,0,0,0,30446,29553,15072,14481,893,446,447,0,0,45,13,29,9,20,0,6071,3,2236,22,177,145,49,0,97,3227,90,28,14190,14
"Hamilton County, New York",1907,1052,855,1904,1051,853,3,1,2,0,0,0,1907,1904,1051,853,3,1,2,0,0,2,2,0,0,0,0,510,2,72,0,0,0,6,0,0,579,0,1,840,0
"Herkimer County, New York",37477,19393,18084,37190,19250,17940,287,143,144,0,0,0,37477,37190,19250,17940,287,143,144,0,0,155,44,79,12,67,0,12596,353,2866,7,213,233,119,1,280,8522,150,2339,16118,16
"Jefferson County, New York",60984,31346,29638,60843,31276,29567,141,70,71,0,0,0,60984,60843,31276,29567,141,70,71,0,0,80,21,52,15,37,105,12976,467,2451,17,161,200,106,1,125,11548,266,590,27044,28
"Kings County, New York",47613,23285,24328,44767,21917,22850,2843,1368,1475,3,0,3,47610,44767,21917,22850,2843,1368,1475,0,3,50,7,35,19,16,2,3234,1770,6160,995,448,375,17,0,1398,5280,2857,958,22867,55
"Lewis County, New York",17830,9199,8631,17777,9174,8603,53,25,28,0,0,0,17830,17777,9174,8603,53,25,28,0,0,60,9,32,3,29,12,4704,102,937,2,0,74,38,0,120,5259,0,794,7704,10
"Livingston County, New York",35140,18452,16688,35000,18389,16611,140,63,77,0,0,0,35140,35000,18389,16611,140,63,77,0,0,89,11,45,6,39,13,7859,137,2408,0,3,221,52,0,782,8708,30,488,16158,16
"Madison County, New York",40008,20318,19690,39785,20201,19584,223,117,106,0,0,0,40008,39785,20201,19584,223,117,106,0,0,88,16,56,14,42,0,9631,158,2382,11,77,229,127,0,968,12277,77,362,19290,35
"Monroe County, New York",64902,33549,31353,64247,33208,31039,655,341,314,0,0,0,64902,64247,33208,31039,655,341,314,0,0,118,26,46,22,24,4,10041,745,5164,49,404,367,78,0,1466,17056,158,2393,28655,82
"Montgomery County, New York",35818,19143,16675,35230,18880,16350,588,263,325,0,0,0,35818,35230,18880,16350,588,263,325,0,0,46,25,34,3,31,10,6216,411,3948,6,309,173,88,0,396,5555,215,755,16555,0
"New York County, New York",312710,149654,163056,296352,142731,153621,16358,6923,9435,0,0,0,312710,296352,142731,153621,16358,6923,9435,0,0,566,239,201,125,76,63,2773,11365,43390,2786,716,2929,53,4,7207,23177,9690,7775,156096,2029
"Niagara County, New York",31132,16247,14885,30891,16104,14787,241,143,98,0,0,0,31132,30891,16104,14787,241,143,98,0,0,34,13,19,6,13,0,10016,289,1657,3,75,189,27,0,506,7988,0,344,13773,10
"Oneida County, New York",85310,43253,42057,84666,42930,41736,644,323,321,0,0,0,85310,84666,42930,41736,644,323,321,0,0,192,26,121,17,104,0,16297,675,6229,51,506,490,230,2,2035,20166,237,1683,39977,85
"Onondaga County, New York",67911,35133,32778,67434,34904,32530,477,229,248,0,0,0,67911,67434,34904,32530,477,229,248,0,0,120,19,72,25,47,0,11741,681,4930,14,514,349,119,0,1532,17870,0,1199,31185,29
"Ontario County, New York",43501,22187,21314,42837,21872,20965,664,315,349,0,0,0,43501,42837,21872,20965,664,315,349,0,0,83,16,46,11,35,0,10137,438,2507,17,78,366,108,1,1372,12427,0,515,20003,30
"Orange County, New York",50739,25849,24890,48447,24725,23722,2292,1124,1168,0,0,0,50739,48447,24725,23722,2292,1124,1168,0,0,83,17,54,32,22,14,17883,167,3363,5,157,233,86,0,1409,8727,725,575,23286,29
"Orleans County, New York",25127,12960,12167,25058,12923,12135,69,37,32,0,0,0,25127,25058,12923,12135,69,37,32,0,0,36,10,26,12,14,0,6835,238,1046,16,43,122,32,0,750,8247,0,67,11102,11
"Oswego County, New York",43619,22544,21075,43404,22439,20965,215,105,110,0,0,0,43619,43404,22439,20965,215,105,110,0,0,35,20,8,2,6,0,8605,87,1831,11,280,109,68,0,468,12193,0,0,19417,12
"Otsego County, New York",49628,24672,24956,49406,24560,24846,222,112,110,0,0,0,49628,49406,24560,24846,222,112,110,0,0,126,34,77,32,45,0,12736,228,3053,5,0,212,184,0,385,13292,84,647,23414,70
"Putnam County, New York",12825,6606,6219,12657,6513,6144,167,93,74,1,0,1,12824,12657,6513,6144,167,93,74,0,1,17,0,16,3,13,0,3128,100,916,2,37,48,19,0,0,2935,15,638,5428,0
"Queens County, New York",30324,15580,14744,26815,13825,12990,3509,1755,1754,0,0,0,30324,26815,13825,12990,3509,1755,1754,0,0,48,10,32,15,17,0,6138,263,1612,88,114,143,3,1,429,3670,633,458,13386,12
"Rensselaer County, New York",60259,30235,30024,59069,29627,29442,1190,608,582,0,0,0,60259,59069,29627,29442,1190,608,582,0,0,64,15,40,13,27,0,7840,1093,4787,17,254,352,88,0,546,11512,982,1379,28516,54
"Richmond County, New York",10965,5497,5468,10482,5247,5235,483,250,233,0,0,0,10965,10482,5247,5235,483,250,233,0,0,9,1,1,0,1,30,844,346,786,210,441,90,4,0,25,604,28,37,5358,3
"Rockland County, New York",11975,6419,5556,11543,6192,5351,432,227,205,0,0,0,11975,11543,6192,5351,432,227,205,0,0,19,15,4,0,4,757,2545,100,1154,5,165,64,40,0,0,1099,32,185,5807,0
"St. Lawrence County, New York",56706,28944,27762,56671,28925,27746,35,19,16,0,0,0,56706,56671,28925,27746,35,19,16,0,0,82,23,48,14,34,88,12190,238,2141,15,95,193,117,0,761,13539,28,1263,23446,10
"Saratoga County, New York",40553,20508,20045,39904,20202,19702,649,306,343,0,0,0,40553,39904,20202,19702,649,306,343,0,0,83,19,52,20,32,21,10075,249,2638,38,156,217,111,0,527,6319,92,738,19459,3
"Schenectady County, New York",17387,8954,8433,16977,8763,8214,410,191,219,0,0,0,17387,16977,8763,8214,410,191,219,0,0,13,6,8,0,8,3,3337,223,1280,14,62,417,47,1,83,1972,89,45,8442,5
"Schoharie County, New York",32358,16255,16103,31865,16002,15863,493,253,240,0,0,0,32358,31865,16002,15863,493,253,240,0,0,37,11,21,3,18,0,5516,0,809,0,1,94,65,0,306,9294,0,126,14321,4
"Seneca County, New York",24874,12709,12165,24675,12609,12066,199,100,99,0,0,0,24874,24675,12609,12066,199,100,99,0,0,24,6,18,9,9,0,4808,149,1224,2,147,94,21,0,215,4360,102,364,10942,11
"Steuben County, New York",46138,23839,22299,45850,23694,22156,288,145,143,0,0,0,46138,45850,23694,22156,288,145,143,0,0,52,18,26,12,14,0,11773,160,2203,12,107,189,100,0,384,15318,0,927,18654,15
"Suffolk County, New York",32469,16550,15919,30292,15395,14897,2177,1155,1022,0,0,0,32469,30292,15395,14897,2177,1155,1022,0,0,52,15,38,13,25,8,7959,376,1727,621,1115,208,30,0,338,7872,58,14,15568,16
"Sullivan County, New York",15629,8208,7421,15549,8168,7381,80,40,40,0,0,0,15629,15549,8168,7381,80,40,40,0,0,29,3,19,8,11,19,3851,93,1110,1,186,80,45,0,36,3894,1057,587,6410,3
"Tioga County, New York",20527,10575,9952,20365,10483,9882,162,92,70,0,0,0,20527,20365,10483,9882,162,92,70,0,0,55,11,32,4,28,0,5774,177,1139,5,5,103,56,0,268,6814,14,1047,8201,8
"Tompkins County, New York",37948,19130,18818,37695,18996,18699,253,134,119,0,0,0,37948,37695,18996,18699,253,134,119,0,0,40,9,38,6,32,0,6560,203,1731,3,102,136,64,0,337,12678,575,257,16887,52
"Ulster County, New York",45822,23445,22377,44018,22591,21427,1804,854,950,0,0,0,45822,44018,22591,21427,1804,854,950,0,0,51,13,32,8,24,4,7774,343,3220,50,510,138,53,0,35,8880,46,592,19836,12
"Warren County, New York",13422,6879,6543,13390,6861,6529,32,18,14,0,0,0,13422,13390,6861,6529,32,18,14,0,0,6,3,4,1,3,1,1592,86,436,24,33,51,40,0,44,4119,0,85,6000,0
"Washington County, New York",41080,20844,20236,40808,20706,20102,272,138,134,0,0,0,41080,40808,20706,20102,272,138,134,0,0,83,9,70,22,48,2,9684,330,1785,41,241,172,85,0,482,7526,40,737,19416,12
"Wayne County, New York",42057,21540,20517,41835,21424,20411,222,116,106,0,0,0,42057,41835,21424,20411,222,116,106,0,0,119,36,61,4,57,2,7563,160,2203,7,185,192,54,0,475,9637,15,866,18225,12
